Learning rate: 0.001, Optimizer: SGD, Scheduler: ExponentialLR
Epoch = 55, lr = [2.2871399059538755e-06, 0.0]
Epoch = 55, Epoch_Loss = 2.4237873673439028, Accuracy = 81.08108108108108
Epoch = 55, validation_Loss = 2.844599882761637, Accuracy validation= 66.66666666666667
Epoch = 56, lr = [2.0477638506421874e-06, 0.0]
Epoch = 56, Epoch_Loss = 2.4236902713775637, Accuracy = 81.08108108108108
Epoch = 56, validation_Loss = 2.8446847200393677, Accuracy validation= 66.66666666666667
Epoch = 57, lr = [1.833441311168083e-06, 0.0]
Epoch = 57, Epoch_Loss = 2.4236050605773927, Accuracy = 81.08108108108108
Epoch = 57, validation_Loss = 2.84478767712911, Accuracy validation= 66.66666666666667
Epoch = 58, lr = [1.6415501428270433e-06, 0.0]
Epoch = 58, Epoch_Loss = 2.423526036739349, Accuracy = 81.08108108108108
Epoch = 58, validation_Loss = 2.844863176345825, Accuracy validation= 66.66666666666667
Epoch = 59, lr = [1.4697426391569114e-06, 0.0]
Epoch = 59, Epoch_Loss = 2.4234576344490053, Accuracy = 81.08108108108108
Epoch = 59, validation_Loss = 2.8449121713638306, Accuracy validation= 66.66666666666667
Epoch = 60, lr = [1.3159168087523475e-06, 0.0]
Epoch = 60, Epoch_Loss = 2.4233970284461974, Accuracy = 81.08108108108108
Epoch = 60, validation_Loss = 2.8449380000432334, Accuracy validation= 66.66666666666667
Epoch = 61, lr = [1.1781906582980281e-06, 0.0]
Epoch = 61, Epoch_Loss = 2.4233415722846985, Accuracy = 81.08108108108108
Epoch = 61, validation_Loss = 2.8449711004892984, Accuracy validation= 66.66666666666667
Epoch = 62, lr = [1.0548791671844842e-06, 0.0]
Epoch = 62, Epoch_Loss = 2.4232931613922117, Accuracy = 81.08108108108108
Epoch = 62, validation_Loss = 2.844998359680176, Accuracy validation= 66.66666666666667
Epoch = 63, lr = [9.444736720008447e-07, 0.0]
Epoch = 63, Epoch_Loss = 2.4232502937316895, Accuracy = 81.08108108108108
Epoch = 63, validation_Loss = 2.8450351556142173, Accuracy validation= 66.66666666666667
Epoch = 64, lr = [8.456234086825558e-07, 0.0]
Epoch = 64, Epoch_Loss = 2.423211669921875, Accuracy = 81.08108108108108
Epoch = 64, validation_Loss = 2.8450711965560913, Accuracy validation= 66.66666666666667
Epoch = 65, lr = [7.571189864901446e-07, 0.0]
Epoch = 65, Epoch_Loss = 2.42317852973938, Accuracy = 81.08108108108108
Epoch = 65, validation_Loss = 2.8450905879338584, Accuracy validation= 66.66666666666667
Epoch = 66, lr = [6.778775916302147e-07, 0.0]
Epoch = 66, Epoch_Loss = 2.423148202896118, Accuracy = 81.08108108108108
Epoch = 66, validation_Loss = 2.8451148668924966, Accuracy validation= 66.66666666666667
Epoch = 67, lr = [6.069297394912995e-07, 0.0]
Epoch = 67, Epoch_Loss = 2.4231217741966247, Accuracy = 81.08108108108108
Epoch = 67, validation_Loss = 2.8451300064722695, Accuracy validation= 66.66666666666667
Epoch = 68, lr = [5.434074134138376e-07, 0.0]
Epoch = 68, Epoch_Loss = 2.423099100589752, Accuracy = 81.08108108108108
Epoch = 68, validation_Loss = 2.845146656036377, Accuracy validation= 66.66666666666667
Epoch = 69, lr = [4.865334448771899e-07, 0.0]
Epoch = 69, Epoch_Loss = 2.4230785608291625, Accuracy = 81.08108108108108
Epoch = 69, validation_Loss = 2.8451682329177856, Accuracy validation= 66.66666666666667
Epoch = 70, lr = [4.356120051748226e-07, 0.0]
Epoch = 70, Epoch_Loss = 2.423061800003052, Accuracy = 81.08108108108108
Epoch = 70, validation_Loss = 2.845186432202657, Accuracy validation= 66.66666666666667
Epoch = 71, lr = [3.900200922473646e-07, 0.0]
Epoch = 71, Epoch_Loss = 2.4230459451675417, Accuracy = 81.08108108108108
Epoch = 71, validation_Loss = 2.8451968828837075, Accuracy validation= 66.66666666666667
Epoch = 72, lr = [3.491999085185789e-07, 0.0]
Epoch = 72, Epoch_Loss = 2.423033082485199, Accuracy = 81.08108108108108
Epoch = 72, validation_Loss = 2.8452001412709556, Accuracy validation= 66.66666666666667
Epoch = 73, lr = [3.126520364803279e-07, 0.0]
Epoch = 73, Epoch_Loss = 2.423021841049194, Accuracy = 81.08108108108108
Epoch = 73, validation_Loss = 2.8452075322469077, Accuracy validation= 66.66666666666667
Epoch = 74, lr = [2.799293285327293e-07, 0.0]
Epoch = 74, Epoch_Loss = 2.4230119705200197, Accuracy = 81.08108108108108
Epoch = 74, validation_Loss = 2.8452144463857016, Accuracy validation= 66.66666666666667
Epoch = 75, lr = [2.506314363243085e-07, 0.0]
Epoch = 75, Epoch_Loss = 2.4230037212371824, Accuracy = 81.08108108108108
Epoch = 75, validation_Loss = 2.8452170292536416, Accuracy validation= 66.66666666666667
Epoch = 76, lr = [2.24399912660961e-07, 0.0]
Epoch = 76, Epoch_Loss = 2.422996687889099, Accuracy = 81.08108108108108
Epoch = 76, validation_Loss = 2.845221996307373, Accuracy validation= 66.66666666666667
Epoch = 77, lr = [2.0091382605767325e-07, 0.0]
Epoch = 77, Epoch_Loss = 2.4229906797409058, Accuracy = 81.08108108108108
Epoch = 77, validation_Loss = 2.8452244997024536, Accuracy validation= 66.66666666666667
Epoch = 78, lr = [1.7988583427891655e-07, 0.0]
Epoch = 78, Epoch_Loss = 2.4229855060577394, Accuracy = 81.08108108108108
Epoch = 78, validation_Loss = 2.8452277183532715, Accuracy validation= 66.66666666666667
Epoch = 79, lr = [1.610586688291579e-07, 0.0]
Epoch = 79, Epoch_Loss = 2.4229811429977417, Accuracy = 81.08108108108108
Epoch = 79, validation_Loss = 2.8452293078104653, Accuracy validation= 66.66666666666667
Epoch = 80, lr = [1.4420198738273098e-07, 0.0]
Epoch = 80, Epoch_Loss = 2.422977364063263, Accuracy = 81.08108108108108
