Learning rate: 0.001, Optimizer: Adam, Scheduler: NoneType
100 epochs in total, 108 batches per epoch
Epoch = 85, Acc = 0.7421150278293135
Epoch = 85, Epoch_Loss = 0.06246145473495643
Epoch = 86, lr = 0.001
Epoch = 86, Acc = 0.7421150278293135
Epoch = 86, Epoch_Loss = 0.05933375198057749
Epoch = 87, lr = 0.001
Epoch = 87, Acc = 0.7421150278293135
Epoch = 87, Epoch_Loss = 0.056362969195039046
Epoch = 88, lr = 0.001
Epoch = 88, Acc = 0.7421150278293135
Epoch = 88, Epoch_Loss = 0.05354209244682419
Epoch = 89, lr = 0.001
Epoch = 89, Acc = 0.7421150278293135
Epoch = 89, Epoch_Loss = 0.05085521020292719
Epoch = 90, lr = 0.001
Epoch = 90, Acc = 0.7421150278293135
Epoch = 90, Epoch_Loss = 0.048297630726463266
Epoch = 91, lr = 0.001
Epoch = 91, Acc = 0.7421150278293135
Epoch = 91, Epoch_Loss = 0.04586542992910836
Epoch = 92, lr = 0.001
Epoch = 92, Acc = 0.7421150278293135
Epoch = 92, Epoch_Loss = 0.04355046544299478
Epoch = 93, lr = 0.001
Epoch = 93, Acc = 0.7421150278293135
Epoch = 93, Epoch_Loss = 0.041349702679090786
Epoch = 94, lr = 0.001
Epoch = 94, Acc = 0.7421150278293135
Epoch = 94, Epoch_Loss = 0.03926529297098535
Epoch = 95, lr = 0.001
Epoch = 95, Acc = 0.7421150278293135
Epoch = 95, Epoch_Loss = 0.03730124259029118
Epoch = 96, lr = 0.001
Epoch = 96, Acc = 0.7421150278293135
Epoch = 96, Epoch_Loss = 0.035444421618767256
Epoch = 97, lr = 0.001
Epoch = 97, Acc = 0.7421150278293135
Epoch = 97, Epoch_Loss = 0.03366850360180251
Epoch = 98, lr = 0.001
Epoch = 98, Acc = 0.7421150278293135
Epoch = 98, Epoch_Loss = 0.031984706182373444
Epoch = 99, lr = 0.001
Epoch = 99, Acc = 0.7421150278293135
Epoch = 99, Epoch_Loss = 0.03038819284551277
