Learning rate: 0.001, Optimizer: Adam, Scheduler: NoneType
100 epochs in total, 10 batches per epoch
Epoch = 82, lr = 0.001
Epoch = 82, Acc = 100.0
Epoch = 82, Epoch_Loss = 0.4402544340118766
Epoch = 83, lr = 0.001
Epoch = 83, Acc = 100.0
Epoch = 83, Epoch_Loss = 0.4495677640661597
Epoch = 84, lr = 0.001
Epoch = 84, Acc = 100.0
Epoch = 84, Epoch_Loss = 0.45932854525744915
Epoch = 85, lr = 0.001
Epoch = 85, Acc = 100.0
Epoch = 85, Epoch_Loss = 0.4775251680985093
Epoch = 86, lr = 0.001
Epoch = 86, Acc = 100.0
Epoch = 86, Epoch_Loss = 0.45765913650393486
Epoch = 87, lr = 0.001
Epoch = 87, Acc = 100.0
Epoch = 87, Epoch_Loss = 0.43976712319999933
Epoch = 88, lr = 0.001
Epoch = 88, Acc = 100.0
Epoch = 88, Epoch_Loss = 0.42991120275110006
Epoch = 89, lr = 0.001
Epoch = 89, Acc = 100.0
Epoch = 89, Epoch_Loss = 0.4140822337940335
Epoch = 90, lr = 0.001
Epoch = 90, Acc = 100.0
Epoch = 90, Epoch_Loss = 0.40271218260750175
Epoch = 91, lr = 0.001
Epoch = 91, Acc = 100.0
Epoch = 91, Epoch_Loss = 0.39791128039360046
Epoch = 92, lr = 0.001
Epoch = 92, Acc = 100.0
Epoch = 92, Epoch_Loss = 0.39363144151866436
Epoch = 93, lr = 0.001
Epoch = 93, Acc = 100.0
Epoch = 93, Epoch_Loss = 0.4024325283244252
Epoch = 94, lr = 0.001
Epoch = 94, Acc = 100.0
Epoch = 94, Epoch_Loss = 0.3935797391459346
Epoch = 95, lr = 0.001
Epoch = 95, Acc = 100.0
Epoch = 95, Epoch_Loss = 0.38348092790693045
Epoch = 96, lr = 0.001
Epoch = 96, Acc = 100.0
Epoch = 96, Epoch_Loss = 0.3931683390401304
Epoch = 97, lr = 0.001
Epoch = 97, Acc = 100.0
Epoch = 97, Epoch_Loss = 0.3975081965327263
Epoch = 98, lr = 0.001
Epoch = 98, Acc = 100.0
Epoch = 98, Epoch_Loss = 0.3837903826497495
Epoch = 99, lr = 0.001
Epoch = 99, Acc = 100.0
Epoch = 99, Epoch_Loss = 0.3869585422798991
